id,category,question
14,Tech Data Structures and Algorithms,"숫자로 이루어진 문자열이 주어졌을 때, 두 숫자 사이에 '+'나 '*'를 추가하여 문자열에서 가장 큰 값을 구하세요."
15,Tech Data Structures and Algorithms,"삼항식을 포함하는 문자열이 주어졌을 때, 주어진 삼항식을 이진 트리로 변환하세요."
16,Tech Data Structures and Algorithms,"정수 배열과 양의 정수 k가 주어졌을 때, 차이가 k인 서로 다른 쌍의 개수를 구하세요."
17,Tech Data Structures and Algorithms,"주어진 문자열이 K-회문인지 아닌지 구하세요. K-회문 문자열은 최대 k개의 문자를 삭제하면 회문이 됩니다."
18,Tech Data Structures and Algorithms,"이진 트리가 주어졌을 때, 최소 깊이를 구하세요. 최소 깊이는 루트 노드에서 가장 가까운 리프 노드까지의 경로에 있는 노드 수입니다."
19,Tech Data Structures and Algorithms,"정렬되지 않은 비음수 정수 배열이 주어졌을 때, 주어진 숫자와 합이 되는 연속된 부분 배열을 찾아내세요."
20,Tech Data Structures and Algorithms,"Look-and-say (또는 Count and Say) 수열에서 n번째 항을 구하세요. Look-and-say 수열은 다음과 같습니다: 1, 11, 21, 1211, 111221, 312211, 13112221, 1113213211, ..."
21,Tech Data Structures and Algorithms,"사전과, 사전에서 조회하는 메소드, 각 셀에 하나의 문자가 있는 M x N 보드가 주어졌을 때, 인접한 문자의 순서를 통해 만들 수 있는 모든 가능한 단어를 찾아내세요. 같은 셀을 여러 번 사용할 수 없으며, 8방향으로 이동할 수 있습니다."
22,Tech Data Structures and Algorithms,"1은 'A', 2는 'B', ...와 같이 숫자 시퀀스가 주어졌을 때, 주어진 숫자 시퀀스를 디코딩할 수 있는 가능한 방법의 수를 구하세요."
23,Tech Data Structures and Algorithms,"정사각형 행렬이 주어졌을 때, 행렬을 시계 반대 방향으로 90도 회전시키세요. 추가 공간을 사용하지 않고 회전해야 합니다."
24,Tech Data Structures and Algorithms,"주어진 히스토그램에서 가능한 가장 큰 직사각형 영역을 구하세요. 각 직사각형은 연속된 막대들로 구성됩니다. 막대의 너비는 1로 간주합니다."
25,Tech Data Structures and Algorithms,"데이터 스트림에서 정수들이 읽혀지면서 지금까지 읽은 요소들의 중앙값을 효율적으로 구하세요. 중복은 없다고 가정합니다."
26,DBMS,"URL 단축기를 설계하세요."
27,DBMS,"메신저 시스템을 설계하세요."
28,DBMS,"검색 자동 완성 시스템을 설계하세요."
29,Coding,"n개의 나무가 원형으로 배열되어 있고, 각 나무에는 과일 값이 주어집니다. 새는 나무에 앉아 0.5초 동안 과일을 따고, 그 후 인접한 나무로 이동할 수 있습니다. 새는 특정 나무에서 과일을 다 따면 더 이상 그 나무에서 과일을 따지 않습니다. 새가 가질 수 있는 최대 과일의 양을 구하세요. 새는 아무 나무에서 시작할 수 있습니다."
30,Coding,"두 개의 문자열 s1과 s2가 주어졌을 때, 두 문자열을 곱한 값을 구하세요."
31,Coding,"주어진 정수 배열 A에서 가장 긴 증가하는 부분 수열을 찾으세요. 즉, 부분 수열의 요소들이 엄격히 증가하는 순서로 배열되어 있으며, 그 부분 수열의 길이가 최대가 되도록 하세요. 이 부분 수열은 반드시 연속적이지 않으며, 유일하지 않을 수도 있습니다. 예시: A = 1, 2, 1, 5. 예시 출력: 3."
32,Coding,"A-Z의 문자로 구성된 메시지가 주어지고, 숫자와 문자가 매핑되어 있습니다: 'A' -> 1, 'B' -> 2, ..., 'Z' -> 26. 주어진 숫자 시퀀스 A에서 이를 디코딩할 수 있는 방법의 수를 구하고, 그 값을 10^9+7로 나눈 나머지를 반환하세요."
